Sample,Sample type,Condition,Treatment,Timepoint,IL-2Ra,MIG,MIP-1b,IL-6,IFN-a2,IFN-g,SDF-1a,IL-1ra,MCP-3,IL-16,IL-12 (p40),LIF,TNF-b,IL-5,GM-CSF,MIF,TNF-a,RANTES,IL-2,IL-1b,IL-18,Eotaxin,Basic FGF,VEGF,b-NGF,PDGF-BB,IP-10,IL-13,IL-4,MCP-1,IL-8,MIP-1a,IL-10,G-CSF,GRO-a,HGF,IL-1a,IL-3,SCF,TRAIL,M-CSF,CTACK,IL-15,IL-7,IL-12 (p70),IL-17,IL-9,SCGF-b
P2 B4,Foam cells,SARSCoV2,siRNA NRP1,24h,2.726529622,952.2492033,75.61939069,2.26883223,3.467485047,46.67345688,70.03256978,445.4431304,37.98677008,5.115161234,12,12.96017744,35.9835348,9.629741687,0.522736628,356.7244384,18.01686483,156.0480864,1.7,0.249355378,0.99,1.215060584,9.621545749,77.57214299,2.320514658,14.71511034,7070.88269,0.2,1.022837241,873.1267052,588.000911,5.876900005,0.7,273.7494611,506.4285936,110.2338959,2.706761882,0.085,2.305912163,4.037112208,1.634210035,10.62902487,19.64666733,2.4,0.011046859,1.707434508,54.07071173,25.98599369
P2 C4,Foam cells,SARSCoV2,siRNA NRP1,24h,6.428063318,763.0625199,120.940248,2.722964981,7.880252152,60.76053935,73.86243558,562.50663,23.03264225,7.52067992,14.48105741,33.98409623,31.0412264,18.36621731,1.037163003,400.7126836,31.46125093,113.5534162,1.219650736,1.764024516,0.979143163,1.683011246,21.99285589,240.482149,2.60479324,22.60313993,8282.539096,0.2,3.345024966,1079.470794,813.0451926,19.26144685,0.7,777.2236876,551.5172328,157.2610413,10.97927782,0.227603409,8.739707589,3.887256733,11.28309978,17.26149824,30.85785007,2.4,0.258556421,4.905653717,45.44527704,172.3400074
Mac siRNA control SARSCoV2 1.1,Macrophages,SARSCoV2,siRNA control,24h,2.253417344,30.06132331,63.51779068,12.15693156,5.625324999,176.8223462,24.49942336,3397.923518,34.41811388,6.247196976,12.23469209,17.85130745,6.192465524,25.5117437,0.642979783,312.193014,28.94601218,6.669160405,0.747902387,0.936205063,0.99,0.99683787,12.53190025,97.83075155,1.532950916,26.6217339,839.3808943,0.2,2.103257784,1167.517563,936.5722313,6.925888874,1.471118574,265.1390602,244.3385086,877.1429086,6.453712709,0.101435274,3.504789813,6.994808693,1.829164851,5.314540088,8.866871638,9.459003451,0.412642825,1.96254167,8.224532285,571.2453669
Mac siRNA control SARSCoV2 2.1,Macrophages,SARSCoV2,siRNA control,24h,3.663496515,21.64620283,69.66801446,14.83287974,6.662389578,303.6261917,25.79201347,5598.252345,55.19216719,2.850601153,16.71230191,25.88028407,4.721627394,11.51641804,0.85400698,362.6361681,42.33828247,6.014611193,1.373708678,1.612650412,0.99,1.714245628,17.21524236,123.5475434,1.700521003,18.63138104,163.0146843,0.122658973,3.055639401,1732.168139,726.2106306,10.66128799,2.19068568,495.9953787,313.232674,1045.03832,8.691367489,0.211625066,6.952853974,9.283018612,5.037878512,10.62902487,31.90351875,7.343032405,0.412642825,3.51045135,8.224532285,913.5872888
Mac siRNA NRP1 SARSCov2 1.1,Macrophages,SARSCoV2,siRNA NRP1,24h,1.776162115,151.0310316,60.74551635,5.938628493,3.243360038,93.49873911,30.78219482,1270.075203,141.2294985,9.360190288,12,10.53350938,26.37024454,8.240304354,0.298177179,387.305754,23.06781793,126.9912441,1.7,0.372853851,0.99,0.872076824,6.700147459,31.86555122,1.421659648,18.63138104,3669.439674,0.2,0.887784175,764.2671957,331.4273397,2.617776027,0.504795935,158.5073962,378.188727,221.654427,2.706761882,0.011332846,2.060935895,7.80275899,1.109860391,8.903949357,22,7.343032405,0.412642825,1.116457319,37.48069283,207.0550862
Mac siRNA NRP1 SARSCov2 2.1,Macrophages,SARSCoV2,siRNA NRP1,24h,1.615941755,161.3079008,53.32881984,8.489370315,4.129327603,80.95629691,33.18639385,1379.800537,119.0951341,15.58820112,12,11.7450343,22.62912984,6,0.449245514,382.5806597,18.85962524,74.17847401,1.7,0.71789807,0.99,0.809655415,8.958825787,37.22143765,1.200202124,12.78154787,4976.124412,0.2,1.286526214,593.5364702,230.4045923,3.309332614,0.259987664,176.8775864,274.133549,244.8355426,4.280061363,0.085,3.029699996,5.103796208,0.878449617,10.62902487,22,2.4,0.72674902,1.368926231,29.5621299,212.1062351
Foam cells siRNA control SARSCov2 1.1,Foam cells,SARSCoV2,siRNA control,24h,3.741122599,15.94848392,50.30184339,3.284710598,4.991348885,269.100996,29.55898277,5413.409291,52.26674912,2.284255459,17.82297733,24.01999138,4.721627394,8.700823166,0.642979783,323.2365351,26.42848383,3.971537192,0.667406411,1.356992494,0.061257876,1.246235004,15.91848093,74.87446693,2.094138142,22.60313993,150.6521638,0.230561559,2.525514916,859.9219012,342.4375038,8.248259964,1.471118574,419.8306517,115.5861868,976.0552346,9.259027836,0.324367682,5.592646935,10.96303202,4.822839808,10.62902487,15.89565128,9.459003451,0.992790561,2.733161425,8.52121794,669.6018592
Foam cells siRNA control SARSCov2 2.1,Foam cells,SARSCoV2,siRNA control,24h,2.490429298,17.8572844,43.97769558,2.951263522,5.625324999,234.672157,16.20786139,4706.525073,26.53770319,5.115161234,7.682491467,17.85130745,4.119788268,13.43739588,0.449245514,314.3006789,18.85962524,4.668255573,0.069441076,1.510933313,0.186824606,1.246235004,12.53190025,91.07308233,1.588725924,18.63138104,149.6135516,0.05017777,2.405856692,1024.807982,710.8452681,6.431488334,0.868725247,294.5027628,24,1072.74211,4.816377504,0.195696661,5.478333633,7.80275899,3.189754354,8.903949357,22,7.343032405,0.939323796,2.647182707,6.152367863,796.3114257
Foam cells siRNA NRP1 SARSCov2 1.1,Foam cells,SARSCoV2,siRNA NRP1,24h,1.53558326,97.31829669,39.68491389,2.227718835,2.788898446,63.98418003,24.49942336,930.3132757,144.4288707,13.46453624,12,9.32599018,19.68126654,0.326289718,0.272307989,337.115427,10.41025295,102.1629602,1.7,0.3,0.99,0.872076824,1.990831977,33.20379339,1.700521003,12.78154787,3209.421424,0.2,0.887784175,645.4717542,140.2159271,2.524259346,0.7,144.383533,329.8802303,200.0056647,3.224539275,0.101435274,2.548882198,5.726013025,1.109860391,8.903949357,22,2.4,0.011046859,0.782129007,25.31883369,182.1399633
Foam cells siRNA NRP1 SARSCov2 2.1,Foam cells,SARSCoV2,siRNA NRP1,24h,1.615941755,148.45657,50.26297002,8.049239866,2.788898446,78.59736549,21.84841834,1226.280725,122.0693136,14.73866365,0.533401752,8.122960845,16.98962764,3.394848419,0.498364574,359.9009243,15.48600788,76.88419133,1.7,0.249355378,0.99,0.778430177,6.700147459,26.51800683,1.200202124,18.63138104,4793.023396,0.2,1.022837241,763.7574648,278.7804032,2.82071438,0.504795935,165.1753878,264.934332,224.3723167,2.196980972,0.085,2.060935895,6.674743534,0.787375292,7.137551277,22,2.726865162,1.5,1.116457319,21.6941218,63.94883458
