Sample,Sample type,Experiment,Virus status,Timepoint,Treatment,IL-2ra,MIG,MIP-1b,IL-6,IFN-a2,IFN-g,SDF-1a,IL-1ra,MCP-3,IL-16,IL-12 (p40),LIF,TNF-b,IL-5,GM-CSF,MIF,TNF-a,RANTES,IL-2,IL-1b,IL-18,Eotaxin,Basic FGF,VEGF,b-NGF,PDGF-BB,IP-10,IL-13,IL-4,MCP-1,IL-8,MIP-1a,IL-10,G-CSF,GRO-a,HGF,IL-1a,IL-3,SCF,TRAIL,M-CSF,CTACK,IL-15,IL-7,IL-12 (p70),IL-17,IL-9,SCFG-b
Unknown10,Whole sample,2,Infected,24,Not treated,7.701112649,1535.541195,61.14067501,7609.882113,9.360076705,43.5138071,372.7070951,923.3790023,27.90696301,149.5820265,103.9467481,114.8348729,43.74927044,7.496948242,1.900591532,1794.567237,11.45410749,70.29953162,2.769400376,0.919485813,1.34830127,3.681859012,30.46799945,5.999450684,30.06338565,69.96184061,1870.153155,0.11306567,3.529916619,568.710664,11607.97052,27.90707314,1.829032846,811.2585756,520.3076181,4908.784854,6.648928544,0.159298881,7.145089654,7.873764171,11.61956071,285.7203341,19.49023438,9.193842663,0.149806625,2.785326734,30.42802869,24706.86678
Unknown9,Whole sample,2,Infected,24,Not treated,4.836259812,2708.528692,61.68599078,8927.581411,9.552544536,28.38104032,347.8762817,249.9217334,12.02452178,60.38691172,120.5463236,141.3811125,41.87102276,7.496948242,2.365706985,1989.632235,12.86907992,68.35631361,3.639897909,1.058240724,1.054586196,3.381992242,39.13582088,109.7757538,35.12950639,59.24399562,1505.519151,0.15714676,3.7298031,725.0995627,12389.95949,27.479747,1.943573732,786.0431308,422.503266,4202.98327,7.883819883,0.258697532,7.289440086,9.435996906,8.298799117,298.9324997,21.46672825,12.19943458,0.576336288,3.525920215,30.93653305,16523.51315
Unknown10,Whole sample,2,Infected,24,Not treated,7.255802947,1537.429105,61.62056645,8513.574913,9.934314992,59.72029612,412.4473494,907.2801443,28.25186321,146.2807605,123.8384249,120.2343417,44.01809998,7.496948242,1.803423876,1838.064564,14.44702011,72.24391562,2.878435592,0.975104223,1.526134523,3.249121421,30.37341046,5.999450684,40.81942902,71.57440299,1890.337153,0.233154297,3.849078999,796.8582145,7329.761772,27.74413994,1.714806963,746.8470645,528.222333,4859.803312,7.47003248,0.159298881,8.082875785,10.96081199,11.76738066,281.6827373,11.03930429,6.680713434,0.149806625,2.785326734,30.68232973,25262.35077
Unknown8,Whole sample,2,Infected,48,Not treated,5.033441292,2155.95237,73.70159021,8251.721788,9.552544536,35.34888212,215.1769126,359.7166746,10.52129062,58.11136385,148.8139001,286.1909245,44.15256301,7.496948242,2.244676418,1362.992738,14.97004814,71.27157729,3.313908266,1.223588327,1.28927641,2.457760774,41.44462997,159.4817209,38.96335,51.88876919,1045.322858,0.066991359,3.928334958,583.3647666,23953.26035,33.33666984,3.455897728,936.4165889,439.081236,8797.172807,8.927045024,0.218751528,8.010777541,8.771895888,10.14722387,235.5859118,22.87595414,8.084008734,0.149806625,2.785326734,28.64506802,13602.75874
Unknown14,Whole sample,2,Infected,48,Not treated,8.344801627,4372.850101,105.0724066,8714.327112,13.73638678,47.40933455,309.9409523,521.7575428,17.79400306,108.7017597,342.5209513,438.5750145,46.37590908,16.7054853,3.623884014,1744.255974,15.838734,95.53097366,4.72357981,1.821947765,3.59795342,3.415249634,75.80998112,217.1170706,46.28159519,64.36726123,1285.512014,0.066991359,6.266414699,739.3005343,280132.0225,69.40055601,1.037235328,1334.794367,720.4361788,28933.84555,16.06708426,0.62546942,14.12422934,12.7775271,16.09596784,322.4831989,82.6394672,17.00815488,0.924478622,4.430371743,31.69856981,17606.29164
Unknown15,Whole sample,2,Infected,48,Not treated,7.156881559,2432.867064,51.68745781,7970.566119,11.78717799,38.41411004,143.8801078,233.5855306,7.323307638,54.22330531,248.4482173,346.3838256,38.19911679,7.11218954,2.275120003,2348.692568,11.27633387,63.08766983,4.453023846,1.305854419,1.645277935,2.918108646,58.68192105,544.3123256,22.42918974,59.24399562,386.3556165,0.15714676,4.787777166,683.3087305,15080,35.20727054,0.815081427,751.537434,464.5994354,18808.76427,11.26173507,0.369550809,10.31532136,11.39125057,9.171928381,266.0992434,40.74545548,14.61822039,0.646316779,4.594774219,26.85674568,12700.02693
Unknown16,Whole sample,2,Infected,48,Not treated,7.55264655,2298.382325,69.64580487,5138.266418,11.05642977,47.09672882,388.2633531,892.8592481,26.10293892,146.8539968,217.4698455,119.4039208,39.33166342,7.496948242,2.183400489,1638.520321,11.63167241,78.1537489,3.802720206,1.113486249,2.368443589,2.523287726,57.34053118,156.4112694,61.19890565,62.78333577,1873.896809,0.233154297,4.477716762,698.0475245,90018.14698,44.9571323,0.486845239,980.821399,529.533872,16672.77612,9.55862195,0.218751528,9.811609034,9.874898436,12.21145468,233.4495979,53.71473289,11.65738841,0.576336288,2.620630385,24.80564105,25432.05442
Unknown16,Whole sample,2,Infected,48,Not treated,7.305268626,2389.446979,69.79771759,5442.07268,11.78717799,48.66138187,442.2361692,929.8411955,27.63058334,144.1344716,234.0378314,109.8469424,38.66520487,7.496948242,2.121585892,1530.603393,10.92014505,80.17257057,4.182242104,1.223588327,2.125949627,2.786197214,57.6315786,147.1738857,69.23748146,58.85287096,1936.131305,0.15714676,4.321670763,740.4776073,15080,45.48007658,1.037235328,908.3092077,540.5974328,17053.55554,11.69153306,0.218751528,9.739633702,10.96081199,11.86598453,231.3138532,47.08002463,11.38568272,0.149806625,4.1837501,29.40981977,25819.49769
Unknown14,Whole sample,2,infected,48,Not treated,7.602131986,3767.421554,93.40302404,7970.566119,14.42606124,47.09672882,286.7255977,468.994081,15.63150279,96.09201151,296.3135746,389.742676,47.45714148,16.37419239,3.139676389,1509.146148,14.09754251,85.60899839,4.290583416,1.929717666,1.764855922,3.51511483,68.99869318,276.6426839,44.26294476,65.95772902,1140.922806,0.066991359,5.703555158,963.6853505,15080,60.89429215,0.925876908,1265.003159,640.2456895,23699.54311,14.30087348,0.52254705,13.76517761,12.24643878,13.67326086,295.1539555,80.79274702,17.00815488,0.149806625,5.745512002,36.38057654,15746.59399
Unknown15,Whole sample,2,Infected,48,Not treated,6.761330222,2404.652004,52.26115357,9081.251791,11.42341887,41.18953512,148.3535633,210.4485377,6.471440746,54.93490448,249.474622,345.5586305,37.06864589,5.462130411,2.305437824,2780.131697,12.51649213,60.45648788,4.777665887,1.496901217,1.884842208,2.918108646,58.3928989,583.7314139,25.88302484,60.41995416,357.3682129,0.15714676,4.941847766,810.2343487,67202.43229,36.98443889,0.704915336,854.0372672,462.450236,18389.49941,9.55862195,0.399998518,10.31532136,9.874898436,9.366565546,255.9122528,49.63333957,14.88509457,0.716101117,4.348167232,31.19063997,13451.12421
